X,Y,Z,String,Dom
-256.14,-521.08,-2452.47,1,60
-132.8,-501.45,-2452.22,2,60
-9.13,-481.74,-2453.06,3,60
114.39,-461.99,-2453.63,4,60
237.78,-442.42,-2450.83,5,60
361,-422.83,-2452.78,6,60
-334.8,-424.5,-2451.7,7,60
-211.35,-404.48,-2455.47,8,60
-88.05,-384.3,-2452.9,9,60
35.54,-364.83,-2454.58,10,60
158.94,-345.23,-2452.46,11,60
282.18,-325.74,-2453.85,12,60
405.83,-306.38,-2457.16,13,60
-413.46,-327.27,-2452.7,14,60
-290.66,-307.38,-2448.15,15,60
-166.4,-287.79,-2454.51,16,60
-43.27,-267.52,-2452.17,17,60
79.41,-248.24,-2453.39,18,60
210.47,-209.77,-2455.35,19,60
326.85,-209.07,-2453.87,20,60
444.05,-194.46,-2435.62,21,60
-492.43,-230.16,-2454.69,22,60
-368.93,-210.23,-2451.76,23,60
-245.65,-190.49,-2450.08,24,60
-121.77,-171.03,-2449.63,25,60
1.71,-150.63,-2455.04,26,60
124.97,-131.25,-2458.64,27,60
248.15,-111.87,-2454.26,28,60
371.56,-92.18,-2449.71,29,60
500.43,-58.45,-2450.44,30,60
-570.9,-125.14,-2452.69,31,60
-447.74,-113.13,-2451.62,32,60
-324.39,-93.43,-2452.16,33,60
-200.55,-74.03,-2428.87,34,60
-77.8,-54.33,-2449.59,35,60
46.29,-34.88,-2451.32,36,60
194.34,-30.92,-2448.2,37,60
292.9,5.2,-2460.89,38,60
411.81,13,-2450.56,39,60
544.07,55.89,-2450.21,40,60
-526.63,-15.6,-2450.08,41,60
-403.14,3.49,-2450.49,42,60
-279.53,23.17,-2451.49,43,60
-156.23,43.37,-2451.96,44,60
-32.96,62.44,-2456.48,45,60
90.49,82.35,-2450.63,46,60
195.03,125.59,-2450.46,47,60
330.03,127.2,-2452.93,48,60
472.05,127.9,-2448.02,49,60
576.37,170.92,-2458.25,50,60
-481.6,101.39,-2450.01,51,60
-358.44,120.56,-2454.23,52,60
-234.95,140.44,-2452.23,53,60
-111.51,159.98,-2451.76,54,60
11.87,179.19,-2449.65,55,60
132.03,202.98,-2450.46,56,60
257.31,211.66,-2448.27,57,60
382.35,238.9,-2453.75,58,60
505.27,257.88,-2446.06,59,60
-437.04,217.8,-2451.53,60,60
-313.6,237.44,-2451.1,61,60
-189.98,257.42,-2450.94,62,60
-66.7,276.92,-2454.47,63,60
54.26,292.97,-2428.14,64,60
174.47,315.54,-2439.55,65,60
303.41,335.64,-2439.34,66,60
429.76,351.02,-2446.15,67,60
-392.38,334.24,-2449.5,68,60
-268.9,354.24,-2450.96,69,60
-145.45,374.24,-2451.21,70,60
-21.97,393.24,-2452.48,71,60
101.04,412.79,-2448.58,72,60
224.58,432.35,-2455.23,73,60
338.44,463.72,-2446.57,74,60
-347.88,451.52,-2450.69,75,60
-224.09,470.86,-2449.87,76,60
-101.06,490.22,-2451.31,77,60
22.11,509.5,-2447.63,78,60
31.25,-72.93,-2451.49,79,60
72.37,-66.6,-2451.7,80,60
41.6,35.49,-2449.68,81,60
106.94,27.09,-2451.69,82,60
113.19,-60.47,-2453.48,83,60
57.2,-105.52,-2452.37,84,60
-9.68,-79.5,-2447.35,85,60
-10.97,6.72,-2448.8,86,60